
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
40:EE:15:60:C9:C4, 2024-05-21 12:57:45, 2024-05-21 13:00:25, 11, 270, WPA2, CCMP, PSK, -59,     1392,    29641,   0.  0.  0.  0,   7, Hacking, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
68:2F:67:8B:B9:B6, 2024-05-21 12:57:45, 2024-05-21 13:00:24, -53,      625, 40:EE:15:60:C9:C4,
E0:0A:F6:B0:82:E1, 2024-05-21 12:57:45, 2024-05-21 13:00:25, -41,     1420, 40:EE:15:60:C9:C4,
F8:89:D2:EC:8F:F9, 2024-05-21 12:57:45, 2024-05-21 13:00:20, -53,    13561, 40:EE:15:60:C9:C4,Hacking
14:5A:FC:5D:3C:83, 2024-05-21 12:57:45, 2024-05-21 13:00:25, -53,     4810, 40:EE:15:60:C9:C4,
A2:8A:1A:B3:16:71, 2024-05-21 12:57:46, 2024-05-21 13:00:14, -62,      154, 40:EE:15:60:C9:C4,
E8:FB:1C:CB:E5:EB, 2024-05-21 12:57:50, 2024-05-21 13:00:21, -43,       68, 40:EE:15:60:C9:C4,
28:11:A8:3A:A4:CB, 2024-05-21 12:58:57, 2024-05-21 13:00:25, -58,     2831, 40:EE:15:60:C9:C4,
80:91:33:9C:49:3B, 2024-05-21 12:59:19, 2024-05-21 13:00:25, -41,     6427, 40:EE:15:60:C9:C4,Hacking
4C:77:CB:BB:32:95, 2024-05-21 13:00:17, 2024-05-21 13:00:25, -61,      518, 40:EE:15:60:C9:C4,
F4:7B:09:8B:09:2B, 2024-05-21 13:00:23, 2024-05-21 13:00:25, -44,       38, 40:EE:15:60:C9:C4,

