date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:37:51	8381/8381	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Apr%202024%2007:37:47%20GMT	https://my.its.ac.id/signin?response_type=code&redirect_uri=https%3A%2F%2Fportal.its.ac.id%2Fapi%2Fauth&client_id=289EA13D-8A8E-4F80-AE3D-6DADCD97F59D&nonce=da5850b927937a90433b0eff84b79445&state=ccffe13f11b353a432f554f0d3d9771d&scope=group+resource+role+openid	my.its.ac.id/signin7913.html	(from )
14:37:52	835/835	---MCZ	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/html	date:Tue,%2030%20Apr%202024%2007:37:52%20GMT	https://my.its.ac.id/robots.txt		(from )
14:37:52	103440/103440	---M--	200	added ('OK')	image/png	etag:%2261a38aab-19410%22	https://my.its.ac.id/assets/media/favicons/favicon-web.png	my.its.ac.id/assets/media/favicons/favicon-web.png	(from https://my.its.ac.id/signin?response_type=code&redirect_uri=https%3A%2F%2Fportal.its.ac.id%2Fapi%2Fauth&client_id=289EA13D-8A8E-4F80-AE3D-6DADCD97F59D&nonce=da5850b927937a90433b0eff84b79445&state=ccffe13f11b353a432f554f0d3d9771d&scope=group+resource+role+openid)
14:37:54	10598/10598	---MCZ	200	added ('OK')	text/css	etag:W/%2261a38aa7-2966%22	https://my.its.ac.id/assets/css/its-login.css	my.its.ac.id/assets/css/its-login.css	(from https://my.its.ac.id/signin?response_type=code&redirect_uri=https%3A%2F%2Fportal.its.ac.id%2Fapi%2Fauth&client_id=289EA13D-8A8E-4F80-AE3D-6DADCD97F59D&nonce=da5850b927937a90433b0eff84b79445&state=ccffe13f11b353a432f554f0d3d9771d&scope=group+resource+role+openid)
14:37:54	1478/1478	---M--	200	added ('OK')	text/css	etag:%2261a38ac4-5c6%22	https://my.its.ac.id/assets/plugins/nprogress/nprogress.css	my.its.ac.id/assets/plugins/nprogress/nprogress.css	(from https://my.its.ac.id/signin?response_type=code&redirect_uri=https%3A%2F%2Fportal.its.ac.id%2Fapi%2Fauth&client_id=289EA13D-8A8E-4F80-AE3D-6DADCD97F59D&nonce=da5850b927937a90433b0eff84b79445&state=ccffe13f11b353a432f554f0d3d9771d&scope=group+resource+role+openid)
14:37:55	8933/8933	---M--	200	added ('OK')	image/png	etag:%2261a38aab-22e5%22	https://my.its.ac.id/assets/media/img/logo.png	my.its.ac.id/assets/media/img/logo.png	(from https://my.its.ac.id/signin?response_type=code&redirect_uri=https%3A%2F%2Fportal.its.ac.id%2Fapi%2Fauth&client_id=289EA13D-8A8E-4F80-AE3D-6DADCD97F59D&nonce=da5850b927937a90433b0eff84b79445&state=ccffe13f11b353a432f554f0d3d9771d&scope=group+resource+role+openid)
14:37:56	6340/6340	---M--	200	added ('OK')	image/png	etag:%2261a38aab-18c4%22	https://my.its.ac.id/assets/media/img/myits-sso-white.png	my.its.ac.id/assets/media/img/myits-sso-white.png	(from https://my.its.ac.id/signin?response_type=code&redirect_uri=https%3A%2F%2Fportal.its.ac.id%2Fapi%2Fauth&client_id=289EA13D-8A8E-4F80-AE3D-6DADCD97F59D&nonce=da5850b927937a90433b0eff84b79445&state=ccffe13f11b353a432f554f0d3d9771d&scope=group+resource+role+openid)
14:38:03	2417/2417	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Apr%202024%2007:38:02%20GMT	https://my.its.ac.id/sso/password/forgot	my.its.ac.id/sso/password/forgot.html	(from https://my.its.ac.id/signin?response_type=code&redirect_uri=https%3A%2F%2Fportal.its.ac.id%2Fapi%2Fauth&client_id=289EA13D-8A8E-4F80-AE3D-6DADCD97F59D&nonce=da5850b927937a90433b0eff84b79445&state=ccffe13f11b353a432f554f0d3d9771d&scope=group+resource+role+openid)
14:38:03	0/0	---MC-	302	error ('Found')	text/html	date:Tue,%2030%20Apr%202024%2007:38:03%20GMT	https://my.its.ac.id/signin/lang?locale=en-US&continue=https://my.its.ac.id/?client_id%3D289EA13D-8A8E-4F80-AE3D-6DADCD97F59D%26amp%3Bresponse_type%3Dcode%26amp%3Bscope%3Dgroup%2Bresource%2Brole%2Bopenid%26amp%3Bstate%3Dccffe13f11b353a432f554f0d3d9771d%26amp%3Bprompt%3D%26amp%3Bredirect_uri%3Dhttps%253A%252F%252Fportal.its.ac.id%252Fapi%252Fauth%26amp%3Bnonce%3Dda5850b927937a90433b0eff84b79445	my.its.ac.id/signin/lang.7e748.delayed	(from https://my.its.ac.id/signin?response_type=code&redirect_uri=https%3A%2F%2Fportal.its.ac.id%2Fapi%2Fauth&client_id=289EA13D-8A8E-4F80-AE3D-6DADCD97F59D&nonce=da5850b927937a90433b0eff84b79445&state=ccffe13f11b353a432f554f0d3d9771d&scope=group+resource+role+openid)
14:38:04	0/0	---MC-	302	error ('Found')	text/html	date:Tue,%2030%20Apr%202024%2007:38:04%20GMT	https://my.its.ac.id/signin/lang?locale=id-ID&continue=https://my.its.ac.id/?client_id%3D289EA13D-8A8E-4F80-AE3D-6DADCD97F59D%26amp%3Bresponse_type%3Dcode%26amp%3Bscope%3Dgroup%2Bresource%2Brole%2Bopenid%26amp%3Bstate%3Dccffe13f11b353a432f554f0d3d9771d%26amp%3Bprompt%3D%26amp%3Bredirect_uri%3Dhttps%253A%252F%252Fportal.its.ac.id%252Fapi%252Fauth%26amp%3Bnonce%3Dda5850b927937a90433b0eff84b79445	my.its.ac.id/signin/lang.8796b.delayed	(from https://my.its.ac.id/signin?response_type=code&redirect_uri=https%3A%2F%2Fportal.its.ac.id%2Fapi%2Fauth&client_id=289EA13D-8A8E-4F80-AE3D-6DADCD97F59D&nonce=da5850b927937a90433b0eff84b79445&state=ccffe13f11b353a432f554f0d3d9771d&scope=group+resource+role+openid)
